titulo_pelicula,director,ciclo,pais,asistencia,funciones,genero,anio_exhibicion,mes_exhibicion,lugar_exhibicion
LA MALA NOCHE,Gabriela Calvache,CC,Ecuador,749,28,Adultos,2021,Marzo,Sala
ANOCHE TE VI SONREIR ,"Kavich Neang, ",CC,Camboya,584,28,Adultos,2021,Marzo,Sala
CABEZA DE BORRADOR,David Lynch,CC,Estados Unidos,397,20,Adultos,2021,Marzo,Sala
EL MISTERIO DEL SR. PICK,Rémi Bezancon,CC,Francia Belgia,737,25,Adultos,2021,Marzo,Sala
CÓMPRAME UN REVOLVER,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,"México, Colombia ",71,2,Adultos,2021,Marzo,Sala
GASOLINA MALEZA,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,"Guatemala, México",29,1,Adultos,2021,Marzo,Sala
SE ESCUCHAN AULLIDOS,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,México,60,2,Adultos,2021,Marzo,SALA
"BUÑUEL EN EL LABERINTO DE LAS TORTUGAS
",Salvador Simón,CC,"España, Países Bajos,",1466,65,Adultos,2021,Marzo,Sala
TWIN PEAKS: FUEGO CAMINA CONMIGO,David Lynch,CC,Estados Unidos,1284,34,Adultos,2021,Marzo,Sala
HASTA EL SOL TIENE MANCHAS,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,"Guatemala, México",36,1,Adultos,2021,Marzo,Sala
LAS MARIMBAS DEL INFIERNO,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,"Guatemala, México, Francia",36,1,Adultos,2021,Marzo,Sala
POLVO,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,"Guatemala, Alemania, España, Chile",36,1,Adultos,2021,Marzo,Sala
ATRÁS HAY RELÁMPAGOS,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,"Costa Rica, México",30,1,Adultos,2021,Marzo,Sala
TE PROMETO ANARQUÍA,Julio Hernandez Cordón,Retrospectiva Julio Hernandez Cordón,"México, Alemania",34,1,Adultos,2021,Marzo,Sala
UNA VIDA OCULTA,Terrence Malick,Estreno,Estados Unidos,1611,29,Adultos,2021,Marzo,Sala
EL INVIERNO ,Emiliano Torres y Marcelo Chaparro,Estreno," Argentina, Francia",679,34,Adultos,2021,Marzo,Sala
"ÁNGELES CAÍDOS  
",Wong Kar-Wai,Retrospectiva Wong Kar-Wai, Hong Kong,383,4,Adultos,2021,Marzo,Sala
CHUNGKING EXPRESS ,Wong Kar-Wai,Retrospectiva Wong Kar-Wai, Hong Kong,389,4,Adultos,2021,Marzo,Sala
LAS CENIZAS DEL TIEMPO (REDUX) ,Wong Kar-Wai,Retrospectiva Wong Kar-Wai,Hong Kong- Taiwán,298,4,Adultos,2021,Marzo,Sala
HAPPY TOGETHER: HISTORIA DE UN ENCUENTRO  ,Wong Kar-Wai,Retrospectiva Wong Kar-Wai,"Hong Kong, Japón, Corea del Sur",446,4,Adultos,2021,Marzo,Sala
LA MANO  ,Wong Kar-Wai,Retrospectiva Wong Kar-Wai, Hong Kong,332,3,Adultos,2021,Marzo,Sala
DESEANDO AMAR   ,Wong Kar-Wai,Retrospectiva Wong Kar-Wai (Estreno),"Hong Kong, China",1729,16,Adultos,2021,Marzo,Sala
2046,Wong Kar-Wai,Retrospectiva Wong Kar-Wai,"Hong Kong, China, Francia, Italia, Alemania",367,3,Adultos,2021,Marzo,Sala
CASA BLANCA ,Michael Curtiz,Estreno,Estados Unidos,1304,13,Adultos,2021,Marzo,Sala
LOS CUENTOS DE LA NOCHE,Michel Ocelot,Matiné Infantil (Estreno), Francia,22,1,Niños,2021,Marzo,Sala
ABRIL Y EL MUNDO EXTRAORDINARIO,Christian Desmares y Franck Ekinci,Matiné Infantil (Estreno),", Francia, Bélgica, Canadá ",232,6,Niños,2021,Marzo,Sala
EL REY Y EL PÁJARO,Paul Grimault,Matiné Infantil (Estreno),Francia,19,1,Niños,2021,Marzo,Sala
PASTOR O IMPOSTOR,Jan Komasa,Estreno," Polonia, Francia",814,12,Adultos,2021,Marzo,Sala
LOS DÍAS MÁS OSCUROS DE NOSOTRAS,Astrid Rondero,Estreno, México,272,6,Adultos,2021,Marzo,Sala
MARÍA SABINA,Nicolas Echeverría,CC,México,86,1,Adultos,2021,Marzo,Foro
NIÑO FIDENCIO,Nicolas Echeverría,CC, México,100,1,Adultos,2021,Marzo,Foro
EL CASTILLO DE LA PUREZA,Arturo Ripstein,cc,México,86,1,Adultos,2021,Marzo,Foro
"BUÑUEL EN EL LABERINTO DE LAS TORTUGAS
",Salvador Simón,CC,"España, Países Bajos,",716,4,Adultos,2021,Marzo,Foro
"
LA CHICA DEL BRAZALETE",Stéphane Demoustier,"My French Film
Festival al Aire Libre",Francia,152,1,Adultos,2021,Marzo,Foro
UN HIJO,Medhi M. Barsaoui,"My French Film
Festival al Aire Libre",Francia Túnez,158,1,Adultos,2021,Marzo,Foro
"ADOLESCENTES 
","Sébastien Lifshitz, ","My French Film
Festival al Aire Libre",Francia,179,1,Adultos,2021,Marzo,Foro
LEONA,Isaac Cherem,CC, México,860,5,Adultos,2021,Marzo,Foro
MERECES UNA AMOR,Hafsia Herzi,"My French Film
Festival al Aire Libre",Francia,144,1,Adultos,2021,Marzo,Foro
ENORME,Sophie Letourneur,"My French Film
Festival al Aire Libre",Francia,152,1,Adultos,2021,Marzo,Foro
JUST KIDS,Christophe Blanc,"My French Film
Festival al Aire Libre","Francia, Suiza ",80,1,Adultos,2021,Marzo,Foro
EL MISTERIO DEL SR. PICK,Rémi Bezancon,CC,Francia Belgia,156,1,Adultos,2021,Marzo,Foro
DESTELLO FUGAZ ,Stéphane Batut,"My French Film
Festival al Aire Libre", Francia,159,1,Adultos,2021,Marzo,Foro
FELICIDAD,Bruno Merle,"My French Film
Festival al Aire Libre", Francia,150,1,Adultos,2021,Marzo,Foro
CAMILLE,Boris Lojkine,"My French Film
Festival al Aire Libre", Francia,159,1,Adultos,2021,Marzo,Foro
CABEZA DE BORRADOR,David Lynch,CC,Estados Unidos,516,3,Adultos,2021,Marzo,Foro
EL CASTILLO DE LA PUREZA ,Arturo Ripstein,Cine Mexicano,México,166,1,Adultos,2021,Marzo,Foro
EL LUGAR SIN LÍMITES,Arturo Ripstein,Cine Mexicano,México,160,1,Adultos,2021,Marzo,Foro
8.5,Federico Fellini,69 Muestra Internacional de Cine,Italia Francia,1035,12,Adultos,2021,Abril,Sala
A PUERTAS CERRADAS,Costa Gavras,69 Muestra Internacional de Cine,"Francia, Grecia",664,12,Adultos,2021,Abril,Sala
ABRIL Y EL MUNDO EXTRAORDINARIO,Christian Desmares y Franck Ekinci,CC,"Francia, Bélgica, Candá",651,23,NIÑOS,2021,Abril,Sala
"AGNUS DEI, CORDERO DE DIOS",Alejandra Sánchez Orozco,Documentalistas Mexicanas,México,102,2,Adultos,2021,Abril,Sala
AL OTRO LADO DEL PARAÍSO,André Ristum,CC,Brasil,109,6,Adultos,2021,Abril,Sala
AMOR AMARGO,Julien Paolini,CC,"Francia, Italia",685,37,Adultos,2021,Abril,Sala
AMOR ENCUBIERTO,Daniel Syrkin,18° Festival Internacional de Cine Judío en México,"Francia, Italia",133,3,Adultos,2021,Abril,Sala
"AMOR, CHUNIBY Y OTROS DELIRIOS",Tatsuya Ishihara,Estreno (Matiné Infantil),Japón,8,1,NIÑOS,2021,Abril,Sala
ANOCHE TE VI SONREIR,Kavich Neang,CC,Camboya,366,33,Adultos,2021,Abril,Sala
ANTÍGONA,Sophie Deraspe,Semana de Cine Canadiense,Canadá,112,1,Adultos,2021,Abril,Sala
ASIA,Ruthy Pribar,18° Festival Internacional de Cine Judío en México,Israel,147,3,Adultos,2021,Abril,Sala
AYER MARAVILLA FUI,Gabriel Mariño,Estreno,México,843,20,Adultos,2021,Abril,Sala
BACURRAU TIERRA DE NADIE,Kleber Mendonca Filho y Juliano Dornelles,Estreno,"Brasil, Francia",1164,43,Adultos,2021,Abril,Sala
BAÑO DE VIDA,Dalia R. Reyes,Documentalistas Mexicanas,México,86,2,Adultos,2021,Abril,Sala
BATALLAS ÍNTIMAS,Lucía Gajá,Documentalistas Mexicanas,México,73,2,Adultos,2021,Abril,Sala
BENAPOLE: UNA GRAN MUJER,Kantemir Balagov,CC,Rusia,781,29,Adultos,2021,Abril,Sala
BELLAS DE NOCHE,María Jose Cuevas,Documentalistas Mexicanas,México,84,2,Adultos,2021,Abril,Sala
BOSQUE DE NIEBLA ,Mónica Álvarez Franco,Documentalistas Mexicanas,México,59,2,Adultos,2021,Abril,Sala
BUÑUEL LABERINTO DE LAS TORTUGAS,Salvador Simón,CC,España Países Bajos,342,15,Adultos,2021,Abril,Sala
CASA BLANCA,Michael Curtiz ,CC,Estados Unidos ,1730,26,Adultos,2021,Abril,Sala
CRESCENDO,Dror Zahav,18° Festival Internacional de Cine Judío en México,Alemania,159,4,Adultos,2021,Abril,Sala
DANYKA,Michael Rowe,CC, México,527,21,Adultos,2021,Abril,Sala
DAYS,Tsai Ming-liang,69 Muestra Internacional de Cine,Taiwán,605,12,Adultos,2021,Abril,Sala
DESEANDO AMAR,Wong Kar-Wai,CC,"Hong Kong, China",2105,48,Adultos,2021,Abril,Sala
DIVINO AMOR,Gabriel Mascaro,CC,"Brasil, Uruguay, Dinamarca, Noruega, Chile,",255,23,Adultos,2021,Abril,Sala
EL BUEN CRISTIANO,Izabel Acevedo,Documentalistas Mexicanas,México,63,2,Adultos,2021,Abril,Sala
EL DESPERTAR DE NORA,Leonie Krippendorff,Estreno,Alemania,321,8,Adultos,2021,Abril,SALA
EL GALLINERO,Fabian Ibarra ,CC,"Alemania, México,",140,15,Adultos,2021,Abril,Sala
EL GRAN CUENTO DE LOS OSOS,Lorenzo Mattotti,69 Muestra Internacional de Cine,"Francia, Italia",587,12,Niños,2021,Abril,Sala
EL INVIERNO,Emiliano Torres y Marcelo Chaparro,CC," Argentina, Francia",408,31,Adultos,2021,Abril,Sala
EL PADRE,Florian Zeller,Estreno,"Reino Unido , Francia",3568,45,Adultos,2021,Abril,Sala
El recuerdo de Marine,Hiromasa Yonebayashi,Estreno (Matiné Infantil),Japón,390,16,Niños,2021,Abril,Sala
EL REY Y EL PÁJARO,Paul Grimault,Matiné Infantil ,Francia,63,11,Niños,2021,Abril,Sala
ESA ERA DANIA,Daniela Ludlow,Documentalistas Mexicanas,México,43,2,Adultos,2021,Abril,Sala
FLOR DE OTOMÍ,Luisa Riley,Documentalistas Mexicanas,México,48,2,Adultos,2021,Abril,Sala
GLORIA MUNDI,Robert Guédiguian,Estreno,"Francia, Italia",105,8,Adultos,2021,Abril,Sala
IDENTIDAD TOMADA,Gabriel Retes,Función Especial,México,54,1,Adultos,2021,Abril,Sala
INVITADO DE HONOR,Atom Egoyan,Semana de Cine Canadiense,Canadá,98,1,Adultos,2021,Abril,Sala
KUESSIPAN,Myriam Verreault,Semana de Cine Canadiense,Canadá,105,1,Adultos,2021,Abril,Sala
LA DIOSA DEL ASFALTO,Julián Hernández,Estreno,México,101,1,Adultos,2021,Abril,Sala
LA LARGA NOCHE DE FRANCISCO SANCTIS,Andrea Testa y Francisco Márquez,Estreno,Argentina,44,5,Adultos,2021,Abril,Sala
LA LLORONA,Jayro Bustamante,69 Muestra Internacional de Cine,"Guatemala, Francia",929,12,Adultos,2021,Abril,Sala
LA MALA NOCHE,Gabriela Calvache,CC,Ecuador,350,15,Adultos,2021,Abril,Sala
LA MUJER DE MI HERMANO,Monia Chokri,Semana de Cine Canadiense,Canadá,74,1,Adultos,2021,Abril,Sala
LA NOCHE DE LOS REYES,Philippe Lacotec,69 Muestra Internacional de Cine,"Francia , Costa de Marfil , Canadá, Senegal",775,12,Adultos,2021,Abril,Sala
LA NOVIA DEL DESIERTO ,"Cecilia Atán y Valeria Pivato, Argentina",CC,Chile,549,43,Adultos,2021,Abril,Sala
LA PALOMA Y EL LOBO,Carlos Lenin Treviño,Estreno,México,406,9,Adultos,2021,Abril,Sala
LA PASIÓN DE MARÍA ELENA,Mercedes Moncada,Documentalistas Mexicanas,México,67,2,Adultos,2021,Abril,Sala
LA PRIMERA SONRISA,Guadalupe Sánchez Sosa,Documentalistas Mexicanas,México,75,2,Adultos,2021,Abril,Sala
LA VERDAD,Hirokazu Kore-eda,69 Muestra Internacional de Cine,Francia,954,12,Adultos,2021,Abril,Sala
LA VIRGEN DE AGOSTO,Jonás Trueba,69 Muestra Internacional de Cine,España,577,12,Adultos,2021,Abril,Sala
LAS CENIZAS DEL TIEMPO (REDUX) ,Wong Kar-Wai,Estreno,Hong Kong- Taiwán,584,15,Adultos,2021,Abril,Sala
LEONA ,Isaac Cherem,CC, México,1476,43,Adultos,2021,Abril,Sala
LLÉVAME CONTIGO,Micaela Rueda,Estreno,"Ecuadr, México, Colombia",339,15,Adultos,2021,Abril,Sala
LOS QUE QUEDA DE NOSOTRAS,Aisling Chin- Yee,Semana de Cine Canadiense,Canadá,112,1,Adultos,2021,Abril,Sala
LOS DÍAS MÁS OSCUROS DE NOSOTRAS,Astrid Rondero,CC, México,808,45,Adultos,2021,Abril,Sala
LOS HIJOS DEL SOL,Majid Majidi,69 Muestra Internacional de Cine,Irán,795,12,Adultos,2021,Abril,Sala
LOS TOMATES ESCUCHAN WAGNER,Grecia,CC,Grecia,262,25,Adultos,2021,Abril,Sala
MATTHIAS Y MAXIME,Xavier Dolan,Semana de Cine Canadiense,Canadá,123,1,Adultos,2021,Abril,Sala
MENTIRA BLANCAS,Yonah Lewis y Calvin Thomas,Semana de Cine Canadiense, Canadá,75,1,Adultos,2021,Abril,Sala
MINARI,Lee Isaac Chung,Estreno,Estados Unidos ,1039,1,Adultos,2021,Abril,Sala
MONSTRUOS,Marius Olteanu,69 Muestra Internacional de Cine,Rumania,884,12,Adultos,2021,Abril,Sala
MORIR DE PIE,Jacaranda Correa,Documentalistas Mexicanas,México,38,1,Adultos,2021,Abril,Sala
NOMADLAND,Chloé Zhao,Estreno,Estados Unidos ,1871,25,Adultos,2021,Abril,Sala
ORO VERDE,Jean Paul Rouve,Función Especial,Francia,54,1,Adultos,2021,Abril,Sala
PASTOR O IMPOSTOR,Jan Komasa,CC," Polonia, Francia",1912,40,Adultos,2021,Abril,Sala
PERSONA NON GRATA,Cellin Gluck ,18° Festival Internacional de Cine Judío en México,"Japón, Lituania, Polonia, Estados Unidos",132,3,Adultos,2021,Abril,Sala
PLAZA DE LA SOLEDAD,Maya Goded,Documentalistas Mexicanas,"México , Holanda",104,2,Adultos,2021,Abril,Sala
RETRATOS DE UNA BÚSQUEDA ,Alicia Calderón,Documentalistas Mexicanas,México,51,2,Adultos,2021,Abril,Sala
SANCTORUM,Joshua Gil,69 Muestra Internacional de Cine,"México, Catar , Republica Dominicana",884,12,Adultos,2021,Abril,Sala
SIRENAS,Karen Ben Rafael,18° Festival Internacional de Cine Judío en México,"Francia , Israel , Bélgica",67,2,Adultos,2021,Abril,Sala
SOBRE LO INFINITO,Roy Andersson,69 Muestra Internacional de Cine,"Suecia, Noruega, Alemania",864,12,Adultos,2021,Abril,Sala
TODO EN JUEGO,Alfredo Marrón,CC,México,71,8,Adultos,2021,Abril,Sala
TRAZANDO ALEIDA,Christiane Burkhard,Documentalistas Mexicanas,México,20,2,Adultos,2021,Abril,Sala
TWIN PEAKS: FUEGO CAMINA CONMIGO,David Lynch,CC,Estados Unidos,608,18,Adultos,2021,Abril,Sala
UNA EDUCACIÓN PARISIANA,Jean Paul Civeyrac,69 Muestra Internacional de Cine,Francia,580,12,Adultos,2021,Abril,Sala
UNA VIDA OCULTA,Terrence Malick,CC,Estados Unidos,462,10,Adultos,2021,Abril,Sala
UNDINE,Christian Petzold,69 Muestra Internacional de Cine,Alemania Francia,741,12,Adultos,2021,Abril,Sala
VENDRÁ LA MUERTE Y TENDRÁ TUS OJOS ,José Luis Torres Leiva,CC,Chile,181,16,Adultos,2021,Abril,Sala
VISA AL PARAÍSO,Liliana Liberman,Documentalistas Mexicanas,México,57,2,Adultos,2021,Abril,Sala
CADENA PERPETUA,Arturo Ripstein,Cine Mexicano,México,166,1,Adultos,2021,Abril,Foro
LA CASA JUNTO AL MAR,Robert Guédiguian,Estreno,Francia,620,4,Adultos,2021,Abril,Foro
EL PRINCIPIO,Gonzalo Martínez Ortega,Cine Mexicano,México,40,1,Adultos,2021,Abril,Foro
LONGITUD DE GUERRA,Gonzalo Martínez Ortega,Cine Mexicano,México,85,1,Adultos,2021,Abril,Foro
ACTAS DE MARUSIA,Miguel Littin,Cine Mexicano, México,92,1,Adultos,2021,Abril,Foro
MENTIRA BLANCA,Yonah Lewis y Calvin Thomas,Semana de Cine Canadiense, Canadá,132,1,Adultos,2021,Abril,Foro
MATTIHAS Y MAXIME ,Xavier Dolan,Semana de Cine Canadiense,Canadá,172,1,Adultos,2021,Abril,Foro
INVITADO DE HONOR ,Atom Egoyan,Semana de Cine Canadiense,Canadá,140,1,Adultos,2021,Abril,Foro
RAÍCES DE SANGRE,Jesús Salvador Treviño,Cine Mexicano, México,68,1,Adultos,2021,Abril,Foro
VIDA ERRANTES,Juan Antonio de la Riva,Cine Mexicano,México,86,1,Adultos,2021,Abril,Foro
PUEBLO DE MADERA,Juan Antonio de la Riva,Cine Mexicano,"México, España",152,1,Adultos,2021,Abril,Foro
MANO DE OBRA,David Zonana,CC,México,600,4,Adultos,2021,Abril,Foro
MATEN AL LEÓN,José Estrada,Cine Mexicano, México,50,1,Adultos,2021,Abril,Foro
CASCABEL,Raúl Araiza,Cine Mexicano, México,78,1,Adultos,2021,Abril,Foro
CALZONZIN INSPECTOR,Alfonso Arau,Cine Mexicano, México,124,1,Adultos,2021,Abril,Foro
CABEZA DE BORRADOR,David Lynch,Cine Mexicano, Estados Unidos,140,1,Adultos,2021,Abril,Foro
AMOR ENCUBIERTO,Daniel Syrkin,18° Festival Internacional de Cine Judío en México,"Israel, Francia,",99,1,Adultos,2021,Abril,Foro
ASIA,Ruthy Pribar,18° Festival Internacional de Cine Judío en México, Israel,0,s/n,Adultos,2021,Abril,Foro
CRESCENDO,Dror Zahavi,18° Festival Internacional de Cine Judío en México, Alemania,41,1,Adultos,2021,Abril,Foro
AL OTRO LADO DEL PARAÍSO,André Ristum,CC, Brasil,140,1,Adultos,2021,Abril,Foro
¿Qué le paso a las abejas?,Adriana Ortero y Robin Canul,Estreno,México,1386,30,Adultos,2021,Mayo,Sala
A MORIR A LOS DESIERTOS,Marta Ferrer,Estreno,México,194,4,Adultos,2021,Mayo,Sala
ABRIL Y EL MUNDO EXTRAORDINARIO,Christian Desmares y Franck Ekinci,Matiné Infantil ,"Francia, Bélgica, Candá",234,8,NIÑOS,2021,Mayo,Sala
"ALEMANIA, AÑO CERO",Roberto Rossellini,Retrospectiva Roberto Rossellini,"Italia, Alemania",50,1,Adultos,2021,Mayo,Sala
Amor,Roberto Rossellini,Retrospectiva Roberto Rossellini,"Francia, Italia, Japón",42,1,Adultos,2021,Mayo,Sala
AMOR AMARGO,Julien Paolini,CC,"Francia, Italia",215,21,Adultos,2021,Mayo,Sala
"AMOR, CHUNIBY Y OTROS DELIRIOS",Tatsuya Ishihara,Matiné Infantil ,Japón,275,10,NIÑOS,2021,Mayo,Sala
ANGUSTIA,Roberto Rossellini,Retrospectiva Roberto Rossellini,"República Federal de Almeania, Italia",67,1,Adultos,2021,Mayo,Sala
AVENIDA NACIONAL,Stepán Altrichter,Muestra de Cine Checo,Republica Checa -Alemania,71,1,Adultos,2021,Mayo,Sala
AYER MARAVILLA FUI,Gabriel Mariño,CC,México,1553,57,Adultos,2021,Mayo,Sala
BACURRAU TIERRA DE NADIE,Kleber Mendonca Filho y Juliano Dornelles,CC,"Brasil, Francia",489,28,Adultos,2021,Mayo,Sala
BENAPOLE: UNA GRAN MUJER,Kantemir Balagov,CC,Rusia,178,7,Adultos,2021,Mayo,Sala
CANTANDO BAJO LA LLUVIA,Stanley Donen y Gene Kelly,Estreno,Estados Unidos,1701,31,Adultos,2021,Mayo,Sala
CHUNGKING EXPRESS,Wong Kar-Wai,Estreno,Hong Kong,1648,27,Adultos,2021,Mayo,Sala
DESEANDO AMAR,Wong Kar-Wai,CC,"Hong Kong, China",247,6,Adultos,2021,Mayo,Sala
"DORIVAL CAYMMI, UN HOMBRE DE AFECTOS",Daniela Broitman,Semana de Cine Brasileño,Brasil,64,2,Adultos,2021,Mayo,Sala
EL AGENTE TOPO,Maite Alberdi,Estreno,Chile,1648,45,Adultos,2021,Mayo,Sala
EL CIELO DIVIDIDO,Julián Hernández,Retrospectiva Julián Hernandez,México,120,3,Adultos,2021,Mayo,Sala
EL DESPERTAR DE LA FIERA :DOGMAN,Matteo Garrone,Estreno,"Italia, Alemania",550,8,Adultos,2021,Mayo,Sala
EL DESPERTAR DE NORA,Leonie Krippendorff,CC,Alemania,1475,53,Adultos,2021,Mayo,Sala
EL DIABLO ENTRE LAS PIERNAS,Arturo Ripstein,Estreno,"México, España",2843,27,Adultos,2021,Mayo,Sala
EL INVIERNO,Emiliano Torres y Marcelo Chaparro,CC," Argentina, Francia",219,29,Adultos,2021,Mayo,Sala
EL PADRE,Florian Zeller,CC,"Reino Unido , Francia",5491,75,Adultos,2021,Mayo,Sala
EL RECUERDO DE MARINE,Hiromasa Yonebayashi,Matiné Infantil ,Japón,51,2,Niños,2021,Mayo,Sala
EN LA AZOTEA,Jirí Mádl,Muestra de Cine Checo,Republica Checa ,143,1,Adultos,2021,Mayo,Sala
GLORIA MUNDI,Robert Guédiguian,CC,"Francia, Italia",921,59,Adultos,2021,Mayo,Sala
HAVEL,Slavek Horak,Muestra de Cine Checo,Republica Checa,66,2,Adultos,2021,Mayo,Sala
HUMBERTO MAURO,André Di Mauro,Semana de Cine Brasileño,Brasil,49,2,Adultos,2021,Mayo,Sala
INDIA,Roberto Rossellini,Retrospectiva Roberto Rossellini,"Italia, Francia",46,1,Adultos,2021,Mayo,Sala
LA BELLE ÉPOQUE,Nicolas Bedos,Estreno,Francia,2234,31,Adultos,2021,Mayo,Sala
LA DIOSA DEL ASFALTO,Julián Hernández,CC,México,2158,32,Adultos,2021,Mayo,Sala
LA FIERA Y LA FIESTA,Laura Amelia Guzmán e Israel Cárdenas,Estreno,"Republica Dominicana, Argentina, México",248,11,Adultos,2021,Mayo,Sala
LA FUERZA Y LA RAZON,Roberto Rossellini,Retrospectiva Roberto Rossellini,Italia,47,1,Adultos,2021,Mayo,Sala
LA LARGA NOCHE DE FRANCISCO SANCTIS,Andrea Testa y Francisco Márquez,CC,Argentina,799,62,Adultos,2021,Mayo,Sala
LA MAMI,Laura Herrero Garvín,Estreno,"México, España",976,18,Adultos,2021,Mayo,Sala
LA MANO,Wong Kar Wai,Estreno,Hong Kong,208,4,Adultos,2021,Mayo,Sala
LA MAQUINA MATA MALVADOS,Roberto Rossellini,Retrospectiva Roberto Rossellini,Italia,32,2,Adultos,2021,Mayo,Sala
LA NOVIA DEL DESIERTO ,"Cecilia Atán y Valeria Pivato, Argentina",CC,Chile,173,2,Adultos,2021,Mayo,Sala
LA PALOMA Y EL LOBO,Carlos Lenin Treviño,CC,México,1172,44,Adultos,2021,Mayo,Sala
LA VIDA INVISIBLE DE EURÍDICE GUSMAO,"Karim Aïnouz. G: Karim Aïnouz y Murilo Hauser,",Semana de Cine Brasileño,Brasil- Almenia,183,2,Adultos,2021,Mayo,Sala
LAS CENIZAS DEL TIEMPO (REDUX) ,Wong Kar-Wai,CC,Hong Kong- Taiwán,196,6,Adultos,2021,Mayo,Sala
LEONA ,Isaac Cherem,CC, México,258,13,Adultos,2021,Mayo,Sala
LLÉVAME CONTIGO,Micaela Rueda,CC,"Ecuadr, México, Colombia",1501,58,Adultos,2021,Mayo,Sala
LOS BANDIDOS DE KELLY,Justin Kurzel,Estreno,Australia,859,20,Adultos,2021,Mayo,Sala
LOS DÍAS MÁS OSCUROS DE NOSOTRAS,Astrid Rondero,CC, México,529,54,Adultos,2021,Mayo,Sala
LOS PAISAJES,Rodrigo Cervantes,Estreno,México-Francia-Reino Unido,486,19,Adultos,2021,Mayo,Sala
"MIL NUBES DE PAZ CERCAN EL CIELO, AMOR, JAMÁS ACA ",Julian Hernandez,Retrospectiva Julián Hernandez,México,150,3,Adultos,2021,Mayo,SALA
MINARI,Lee Isaac Chung,CC,Estados Unidos ,1360,31,Adultos,2021,Mayo,Sala
MORIR DE PIE,Jacaranda Correa,Documentalistas Mexicanas,México,50,1,Adultos,2021,Mayo,Sala
MOSCAS DE INVIERNO,Olmo Omerzu,Muestra de Cine Checo,República Checa-Eslovenia-Polonia-Eslovaquia,44,1,Adultos,2021,Mayo,Sala
NOMADLAND,Chloé Zhao,CC,Estados Unidos ,5483,73,Adultos,2021,Mayo,Sala
NOTAS PARA NO OLVIDAR,Hatuey ViverosJean Paul Rouve,Estreno,México,349,11,Adultos,2021,Mayo,Sala
PACARRETE,Allan Deberton,Semana de Cine Brasileño,Brasil,102,2,Adultos,2021,Mayo,Sala
PAISA,Roberto Rossellini,Retrospectiva Roberto Rossellini,Italia,54,1,Adultos,2021,Mayo,Sala
PASTOR O IMPOSTOR,Jan Komasa,CC," Polonia, Francia",945,31,Adultos,2021,Mayo,Sala
PENDULAR,Julia Murat,Semana de Cine Brasileño,"Brasil, Argentina, Francia, Alemania",158,2,Adultos,2021,Mayo,Sala
PROGRAMA DE CORTOMETRAJES 1,Julian Hernandez,Retrospectiva Julián Hernandez,México,28,3,Adultos,2021,Mayo,Sala
PROGRAMA DE CORTOMETRAJES 2,Julian Hernandez,Retrospectiva Julián Hernandez,México,56,2,Adultos,2021,Mayo,Sala
PROGRAMA DE MEDIOMETRAJES,Julian Hernandez,Retrospectiva Julián Hernandez,México,36,2,Adultos,2021,Mayo,Sala
QUERENCIA,Helvécio Marins Jr.,Semana de Cine Brasileño,"Brasil, Alemania",70,2,Adultos,2021,Mayo,Sala
"RABIOSO SOL, RABIOSO CIELO",Julian Hernandez,Retrospectiva julián Hernandez,México,59,3,Adultos,2021,Mayo,Sala
RENCOR TATUADO,Julian Hernandez,Retrospectiva julián Hernandez,México,57,2,Adultos,2021,Mayo,Sala
RASGA CORAZON,Jorge Furtado,Semana de Cine Brasileño,Brasil,119,2,Adultos,2021,Mayo,Sala
RETRATO DE UNA MADRE IMPERFECTA,Amanda Kernell,Estreno,Suecia,886,28,Adultos,2021,Mayo,Sala
"ROMA, CIUDAD ABIERTA",Roberto Rossellini,Retrospectiva Roberto Rossellini,Italia,32,1,Adultos,2021,Mayo,Sala
SOY CREA,N/A,Funcion especial,N/A,125,1,Adultos,2021,Mayo,Sala
STROMBOLI,Roberto Rossellini,Retrospectiva roberto Rossellini,"Italia , Estados Unidos",34,2,Adultos,2021,Mayo,Sala
TRAICIÓN DORADA,Radim Spacek,Muestra de Cine Checo,"Republica Checa, Eslovaqui",60,1,Adultos,2021,Mayo,Sala
TRES VERANOS,Sandra Kogut,Semana de Cine Brasileño,"Brasil, Francia",109,2,Adultos,2021,Mayo,Sala
VIAJE A ITALIA,Roberto Rossellini,Retrospectiva Roberto Rossellini,"Francia , Italia",101,2,Adultos,2021,Mayo,Sala
YO SOY LA FELICIDAD DE ESTE MUNDO,Julian Hernandez,Retrospectiva Julián Hernandez,México,72,3,Adultos,2021,Mayo,Sala
AL OTRO LADO DEL PARAÍSO,André Ristum,CC,Brasil,363,3,Adultos,2021,Mayo,Foro
"ROMA, CIUDAD ABIERTA",Roberto Rossellini,Retrospectiva Roberto Rossellini,Italia,89,1,Adultos,2021,Mayo,Foro
PAISÁ,Roberto Rossellini,Retrospectiva Roberto Rossellini,Italia,0,S /F,Adultos,2021,Mayo,Foro
